index  confidence   rules
 131   1.000        [96.0]=>[0.0, 140.0]
 132   1.000        [100.0, 20.2]=>[140.0]
 133   1.000        [140.0, 20.2]=>[100.0]
 134   1.000        [100.0, 20.7]=>[140.0]
 135   1.000        [140.0, 20.7]=>[100.0]
 136   1.000        [100.0, 21.2]=>[130.0]
 137   1.000        [130.0, 21.2]=>[100.0]
 138   1.000        [0.0, 20.2]=>[140.0]
 139   1.000        [140.0, 20.2]=>[0.0]
 140   1.000        [0.0, 20.7]=>[140.0]
 141   1.000        [140.0, 20.7]=>[0.0]
 142   1.000        [97.0, 100.0]=>[130.0]
 143   1.000        [97.0, 130.0]=>[100.0]
 144   1.000        [97.0]=>[130.0, 100.0]
 145   1.000        [100.0, 20.3]=>[130.0]
 146   1.000        [130.0, 20.3]=>[100.0]
 147   1.000        [100.0, 20.8]=>[130.0]
 148   1.000        [130.0, 20.8]=>[100.0]
 149   1.000        [0.0, 100.0]=>[140.0]
 150   1.000        [0.0, 140.0]=>[100.0]
 151   1.000        [140.0, 100.0]=>[0.0]
 152   1.000        [140.0]=>[0.0, 100.0]
 153   1.000        [100.0, 21.0]=>[130.0]
 154   1.000        [130.0, 21.0]=>[100.0]
 155   1.000        [100.0, 20.4]=>[130.0]
 156   1.000        [130.0, 20.4]=>[100.0]
 157   1.000        [100.0, 20.9]=>[130.0]
 158   1.000        [130.0, 20.9]=>[100.0]
 159   1.000        [0.0, 21.3]=>[140.0]
 160   1.000        [140.0, 21.3]=>[0.0]
 161   1.000        [0.0, 97.0]=>[100.0]
 162   1.000        [97.0, 100.0]=>[0.0]
 163   1.000        [97.0]=>[0.0, 100.0]
 164   1.000        [100.0, 20.2]=>[130.0]
 165   1.000        [130.0, 20.2]=>[100.0]
 166   1.000        [100.0, 20.7]=>[130.0]
 167   1.000        [130.0, 20.7]=>[100.0]
 168   1.000        [0.0, 20.3]=>[100.0]
 169   1.000        [100.0, 20.3]=>[0.0]
 170   1.000        [0.0, 20.8]=>[100.0]
 171   1.000        [100.0, 20.8]=>[0.0]
 172   1.000        [140.0, 100.0]=>[130.0]
 173   1.000        [130.0, 100.0]=>[140.0]
 174   1.000        [130.0, 140.0]=>[100.0]
 175   1.000        [140.0]=>[130.0, 100.0]
 176   1.000        [0.0, 21.0]=>[100.0]
 177   1.000        [100.0, 21.0]=>[0.0]
 178   1.000        [0.0, 20.6]=>[130.0]
 179   1.000        [130.0, 20.6]=>[0.0]
 180   1.000        [0.0, 20.4]=>[140.0]
 181   1.000        [140.0, 20.4]=>[0.0]
 182   1.000        [0.0, 20.9]=>[140.0]
 183   1.000        [140.0, 20.9]=>[0.0]
 184   1.000        [0.0, 195.0]=>[130.0]
