0,1,2,3,4,5,6,7,8,9,10,11,12,13
3.0,58.0,11.0,85.0,100.0,106.9,35.0,35.0,100.0,106.9,130.0,58.0,100.0,53.8
3.0,66.0,20.0,85.0,101.0,106.0,36.0,35.0,91.0,106.0,134.0,66.0,101.0,55.6
3.0,58.0,12.0,85.0,100.0,106.9,34.0,35.0,99.0,106.9,130.0,58.0,100.0,53.8
3.0,66.0,21.0,85.0,101.0,106.7,35.0,34.0,98.0,106.7,134.0,66.0,100.0,55.5
3.0,58.0,13.0,85.0,100.0,107.0,35.0,35.0,100.0,107.0,137.0,58.0,99.0,53.4
3.0,66.0,22.0,85.0,101.0,107.1,34.0,35.0,98.0,107.1,133.0,66.0,101.0,55.5
3.0,58.0,14.0,85.0,100.0,105.7,34.0,35.0,99.0,105.7,130.0,58.0,99.0,53.4
3.0,58.0,15.0,85.0,100.0,107.5,36.0,35.0,99.0,107.5,130.0,58.0,99.0,55.6
3.0,66.0,23.0,85.0,100.0,104.0,34.0,35.0,88.0,104.0,133.0,66.0,100.0,55.2
3.0,58.0,16.0,85.0,100.0,107.3,35.0,35.0,100.0,107.3,120.0,58.0,100.0,55.6
3.0,66.0,24.0,85.0,100.0,104.2,32.0,35.0,96.0,104.2,139.0,66.0,99.0,55.2
3.0,58.0,17.0,85.0,100.0,106.5,35.0,35.0,99.0,106.5,125.0,58.0,100.0,56.8
3.0,66.0,25.0,85.0,100.0,104.5,34.0,35.0,96.0,104.5,137.0,66.0,100.0,55.7
3.0,58.0,18.0,85.0,100.0,104.2,35.0,34.0,95.0,104.2,131.0,58.0,100.0,56.8
3.0,66.0,26.0,85.0,100.0,105.7,35.0,35.0,97.0,105.7,134.0,66.0,100.0,55.7
3.0,58.0,19.0,85.0,100.0,105.8,35.0,35.0,98.0,105.8,120.0,58.0,98.0,55.1
3.0,58.0,20.0,85.0,100.0,105.1,32.0,34.0,98.0,105.1,130.0,58.0,99.0,55.1
3.0,66.0,27.0,85.0,100.0,102.9,33.0,35.0,91.0,102.9,138.0,66.0,99.0,54.8
3.0,58.0,21.0,85.0,100.0,106.4,35.0,34.0,99.0,106.4,126.0,58.0,99.0,54.9
3.0,66.0,28.0,85.0,100.0,105.2,36.0,35.0,95.0,105.2,130.0,66.0,100.0,54.8
3.0,58.0,22.0,85.0,100.0,106.0,33.0,35.0,99.0,106.0,134.0,58.0,100.0,54.9
3.0,66.0,29.0,85.0,100.0,106.4,35.0,35.0,98.0,106.4,128.0,66.0,101.0,55.0
3.0,58.0,23.0,85.0,100.0,105.1,33.0,34.0,99.0,105.1,128.0,58.0,99.0,55.4
3.0,66.0,30.0,85.0,101.0,105.7,35.0,35.0,100.0,105.7,134.0,66.0,102.0,55.0
3.0,58.0,24.0,85.0,100.0,106.4,35.0,35.0,99.0,106.4,130.0,58.0,99.0,55.4
3.0,66.0,31.0,85.0,102.0,106.7,35.0,34.0,99.0,106.7,126.0,66.0,102.0,54.5
3.0,66.0,32.0,85.0,101.0,106.0,34.0,35.0,98.0,106.0,132.0,66.0,102.0,54.5
3.0,58.0,25.0,85.0,100.0,104.5,34.0,35.0,96.0,104.5,121.0,58.0,99.0,54.7
3.0,66.0,33.0,85.0,101.0,105.4,33.0,35.0,99.0,105.4,140.0,66.0,101.0,54.3
3.0,58.0,26.0,85.0,100.0,106.0,36.0,35.0,99.0,106.0,124.0,58.0,99.0,54.7
3.0,66.0,34.0,85.0,100.0,107.0,34.0,35.0,97.0,107.0,135.0,66.0,100.0,54.3
3.0,58.0,27.0,85.0,100.0,106.7,35.0,35.0,99.0,106.7,116.0,58.0,100.0,54.0
3.0,58.0,28.0,85.0,100.0,105.4,34.0,35.0,99.0,105.4,121.0,58.0,100.0,54.0
3.0,66.0,35.0,85.0,100.0,104.2,35.0,35.0,94.0,104.2,132.0,66.0,99.0,55.7
3.0,58.0,29.0,85.0,100.0,105.5,35.0,35.0,99.0,105.5,127.0,58.0,100.0,53.4
3.0,66.0,36.0,85.0,100.0,105.3,34.0,34.0,98.0,105.3,136.0,66.0,101.0,55.7
3.0,58.0,30.0,85.0,100.0,105.9,34.0,35.0,98.0,105.9,132.0,58.0,99.0,53.4
3.0,66.0,37.0,85.0,100.0,104.2,31.0,35.0,98.0,104.2,128.0,66.0,99.0,54.9
3.0,58.0,31.0,85.0,100.0,106.1,36.0,35.0,97.0,106.1,127.0,58.0,100.0,53.2
3.0,66.0,38.0,85.0,100.0,105.4,34.0,34.0,97.0,105.4,130.0,66.0,99.0,54.9
3.0,58.0,32.0,85.0,100.0,105.1,33.0,35.0,99.0,105.1,117.0,58.0,99.0,53.2
3.0,58.0,33.0,85.0,100.0,107.0,35.0,35.0,100.0,107.0,120.0,58.0,99.0,52.8
3.0,66.0,39.0,85.0,100.0,103.5,34.0,35.0,89.0,103.5,135.0,66.0,99.0,54.9
3.0,58.0,34.0,85.0,100.0,105.9,34.0,35.0,100.0,105.9,114.0,58.0,100.0,52.8
3.0,66.0,40.0,85.0,100.0,105.1,35.0,35.0,96.0,105.1,122.0,66.0,100.0,54.9
3.0,58.0,35.0,85.0,100.0,104.9,33.0,35.0,99.0,104.9,127.0,58.0,98.0,54.4
3.0,66.0,41.0,85.0,100.0,104.5,33.0,35.0,97.0,104.5,135.0,66.0,100.0,57.3
3.0,58.0,36.0,85.0,100.0,106.4,35.0,34.0,98.0,106.4,129.0,58.0,100.0,54.4
3.0,66.0,42.0,85.0,100.0,103.7,32.0,34.0,98.0,103.7,133.0,66.0,100.0,57.3
3.0,58.0,37.0,85.0,100.0,106.8,36.0,35.0,99.0,106.8,125.0,58.0,100.0,54.2
3.0,66.0,43.0,85.0,100.0,105.4,34.0,35.0,98.0,105.4,133.0,66.0,100.0,57.0
3.0,58.0,38.0,85.0,100.0,103.9,34.0,35.0,95.0,103.9,126.0,58.0,98.0,54.2
3.0,58.0,39.0,85.0,100.0,104.4,34.0,35.0,94.0,104.4,125.0,58.0,99.0,53.1
3.0,66.0,44.0,85.0,100.0,103.3,36.0,35.0,85.0,103.3,128.0,66.0,99.0,57.0
3.0,58.0,40.0,85.0,100.0,103.8,33.0,35.0,98.0,103.8,120.0,58.0,100.0,53.1
3.0,66.0,45.0,85.0,101.0,104.7,35.0,34.0,93.0,104.7,134.0,66.0,101.0,55.8
3.0,58.0,41.0,85.0,100.0,105.5,35.0,35.0,96.0,105.5,120.0,58.0,98.0,53.3
3.0,66.0,46.0,85.0,100.0,105.0,34.0,35.0,92.0,105.0,132.0,66.0,100.0,55.8
3.0,58.0,42.0,85.0,100.0,105.2,34.0,35.0,99.0,105.2,131.0,58.0,100.0,53.3
3.0,66.0,47.0,85.0,100.0,106.0,35.0,35.0,96.0,106.0,131.0,66.0,99.0,56.1
3.0,58.0,43.0,85.0,100.0,105.4,34.0,35.0,99.0,105.4,112.0,58.0,99.0,54.0
3.0,66.0,48.0,85.0,100.0,104.6,33.0,34.0,93.0,104.6,138.0,66.0,100.0,56.1
3.0,58.0,44.0,85.0,100.0,105.8,34.0,35.0,98.0,105.8,122.0,58.0,100.0,54.0
3.0,58.0,45.0,85.0,100.0,103.9,32.0,35.0,98.0,103.9,126.0,58.0,100.0,56.9
3.0,66.0,49.0,85.0,102.0,103.3,33.0,35.0,89.0,103.3,134.0,66.0,101.0,54.6
3.0,58.0,46.0,85.0,100.0,105.4,34.0,35.0,98.0,105.4,123.0,58.0,99.0,56.9
3.0,66.0,50.0,85.0,100.0,104.6,34.0,35.0,96.0,104.6,126.0,66.0,99.0,54.6
3.0,58.0,47.0,85.0,100.0,104.8,34.0,35.0,99.0,104.8,118.0,58.0,100.0,54.0
3.0,66.0,51.0,85.0,100.0,105.0,32.0,34.0,96.0,105.0,135.0,66.0,99.0,54.1
3.0,58.0,48.0,85.0,100.0,105.3,34.0,35.0,98.0,105.3,128.0,58.0,98.0,54.0
3.0,66.0,52.0,85.0,100.0,105.7,35.0,35.0,98.0,105.7,120.0,66.0,99.0,54.1
3.0,58.0,49.0,85.0,100.0,103.8,34.0,35.0,94.0,103.8,119.0,58.0,98.0,54.4
