Col1,Col2
1.9758226,0.12435317
1.9760948,0.13602504
1.9768001,0.1481352
1.9775046,0.16023383
1.981013,0.22055528
1.9833959,0.2806437
1.9781419,0.34157562
1.9729475,0.40282586
1.9663028,0.4789388
1.9617418,0.55209184
1.9592804,0.617932
1.9566876,0.680693
1.9530619,0.74645245
1.9483002,0.81127745
1.9421469,0.875005
1.9339925,0.9370666
1.9223825,0.9904823
1.9082962,1.0438747
1.892511,1.0960904
1.8775481,1.148495
1.860619,1.1994678
1.8415927,1.2488673
1.8203536,1.2965529
1.7968053,1.3423884
1.773379,1.3822615
1.7479485,1.4204128
1.7136041,1.4689347
1.6770457,1.5159047
1.6403898,1.558679
1.6020993,1.5993198
1.5622209,1.6377876
1.5208138,1.6740566
1.478984,1.7057825
1.4376295,1.7319429
1.3963834,1.7539136
1.3538607,1.7738556
1.3099164,1.7909429
1.2648951,1.8059552
1.2188846,1.8190913
1.1719903,1.8304389
1.1221349,1.8404933
1.0715445,1.8488129
1.0203308,1.8555182
0.96859884,1.8607312
0.91121876,1.8648903
0.8548769,1.8631505
0.79976964,1.8554046
0.7458534,1.8473637
0.6807233,1.8403977
0.6147951,1.8332629
0.5489087,1.8253807
0.48319137,1.8169199
0.40084833,1.8120536
0.3166384,1.8088305
0.23445278,1.8048326
0.15490896,1.8000302
0.08189726,1.7954988
0.009304941,1.7909343
-0.056029826,1.7782599
-0.12572527,1.7711518
-0.19715306,1.7664711
-0.25822872,1.7674634
-0.31893414,1.7683899
-0.37925005,1.769197
-0.44163087,1.7688227
-0.5060808,1.7616111
-0.57193094,1.7524499
-0.638356,1.7482088
-0.70898473,1.743006
-0.78359926,1.7337222
-0.8588355,1.7220992
-0.9327312,1.7089943
-0.99061453,1.6991602
-1.0488079,1.6890674
-1.105767,1.6776291
-1.1613076,1.6645079
-1.215431,1.6501971
-1.2641683,1.6344333
-1.2997391,1.6117201
-1.3377817,1.5836493
-1.3714554,1.5566053
-1.4036646,1.5284798
-1.4343483,1.499282
-1.463455,1.4690318
-1.4900669,1.4388009
-1.5146778,1.4071507
-1.5375693,1.3743196
-1.5587087,1.3402184
-1.578208,1.3049569
-1.5957924,1.2687391
-1.6117074,1.2317182
-1.6259948,1.1939663
-1.6388651,1.1550475
-1.649975,1.1156844
-1.6593416,1.075994
-1.6673958,1.0357916
-1.6745532,0.992924
-1.6804307,0.94965845
-1.6851249,0.9060752
-1.6847079,0.85731375
-1.6825938,0.8021316
-1.6852276,0.7437602
-1.6877819,0.6843668
-1.6862549,0.6313636
-1.6772196,0.58185136
-1.6702907,0.52868235
-1.6686491,0.4782154
-1.6664301,0.4279117
-1.6576267,0.34750986
-1.6482381,0.26680854
-1.6386048,0.18653621
-1.6333332,0.10020883
-1.6296408,0.019377813
-1.6325911,-0.048962146
-1.6393598,-0.109961465
-1.644523,-0.16888368
-1.6496966,-0.22912872
-1.6528277,-0.29059687
-1.6554834,-0.35213366
-1.6567146,-0.41509622
-1.6556787,-0.48296744
-1.6541257,-0.55026585
-1.6518879,-0.6169145
-1.6487802,-0.68281615
-1.6440424,-0.7572558
-1.6444224,-0.8386302
-1.6433574,-0.91812974
-1.6352146,-0.9866407
-1.6218935,-1.0292419
-1.6056348,-1.071939
-1.5879505,-1.113535
-1.5676982,-1.1528285
-1.5452166,-1.190105
-1.5198414,-1.2245958
-1.4927437,-1.2575481
-1.4638984,-1.2888818
-1.4352032,-1.3168272
-1.4086995,-1.3409271
-1.3801162,-1.3652607
-1.3500488,-1.3879377
-1.3190272,-1.4086329
-1.2866566,-1.4276966
-1.2529901,-1.4451112
-1.2181089,-1.4609388
-1.1818178,-1.4752953
-1.1444392,-1.4880619
-1.1060646,-1.4993052
-1.0667821,-1.5090803
-1.0255667,-1.5176615
-0.9835854,-1.5248343
-0.9409337,-1.5306795
-0.89770436,-1.5352818
-0.8507591,-1.5389391
-0.8037423,-1.5407891
-0.7564417,-1.5414091
-0.70888644,-1.5409983
-0.6534077,-1.539372
-0.59779614,-1.5366699
-0.54214424,-1.5330489
-0.4846807,-1.5287918
